iter	Passed	Remaining
253	6016	3458
254	6022	3424
255	6048	3402
256	6067	3376
257	6079	3345
258	6096	3319
259	6106	3288
260	6120	3259
261	6133	3230
262	6147	3202
263	6161	3174
264	6182	3149
265	6194	3120
266	6211	3094
267	6225	3066
268	6248	3043
269	6267	3017
270	6280	2989
271	6297	2963
272	6309	2935
273	6327	2909
274	6354	2888
275	6388	2870
276	6420	2850
277	6425	2819
278	6442	2794
279	6452	2765
280	6474	2741
281	6509	2724
282	6540	2703
283	6590	2691
284	6626	2674
285	6652	2651
286	6678	2629
287	6722	2614
288	6774	2601
289	6796	2577
290	6834	2560
291	6867	2540
292	6896	2518
293	6911	2491
294	6935	2468
295	6963	2446
296	6983	2421
297	7016	2401
298	7036	2376
299	7076	2358
300	7118	2341
301	7131	2314
302	7165	2293
303	7188	2270
304	7218	2248
305	7242	2224
306	7275	2203
307	7296	2179
308	7312	2153
309	7339	2130
310	7361	2106
311	7371	2079
312	7403	2057
313	7419	2032
314	7443	2008
315	7458	1982
316	7476	1957
317	7497	1933
318	7511	1907
319	7531	1882
320	7557	1859
321	7599	1840
322	7623	1817
323	7643	1792
324	7668	1769
325	7713	1750
326	7734	1726
327	7749	1701
328	7770	1676
329	7806	1655
330	7822	1630
331	7845	1606
332	7857	1580
333	7861	1553
334	7885	1529
335	7910	1506
336	7933	1483
337	7947	1457
338	7973	1434
339	7985	1409
340	8000	1384
341	8005	1357
342	8021	1333
343	8043	1309
344	8056	1284
345	8070	1259
346	8099	1237
347	8105	1211
348	8126	1187
349	8137	1162
350	8153	1138
351	8176	1114
352	8211	1093
353	8238	1070
354	8262	1047
355	8305	1026
356	8335	1003
357	8343	978
358	8366	955
359	8399	933
360	8407	908
361	8432	885
362	8445	860
363	8468	837
364	8496	814
365	8520	791
366	8571	770
367	8621	749
368	8678	729
369	8707	705
370	8725	682
371	8730	657
372	8749	633
373	8773	609
374	8790	586
375	8800	561
376	8818	537
377	8847	514
378	8874	491
379	8894	468
380	8923	444
381	8958	422
382	8978	398
383	8988	374
384	9026	351
385	9039	327
386	9063	304
387	9095	281
388	9127	258
389	9164	234
390	9187	211
391	9207	187
392	9235	164
393	9253	140
394	9280	117
395	9301	93
396	9314	70
397	9375	47
398	9395	23
399	9415	0
